workload,layer_idx,scheme,dram_traffic,norm_energy,weight_reuse,input_reuse
GPT-2/Transformer,1,Optimized Blocking,804949.3333333334,0.3411820023148148,32.0,2304.0
GPT-2/Transformer,2,Baseline,2359296.0,1.0,1.0,1.0
GPT-2/Transformer,2,Basic Tiling,1277952.0,0.5416666666666666,1.0,12.0
GPT-2/Transformer,2,Optimized Blocking,215381.33333333334,0.09129050925925926,32.0,2304.0
GPT-2/Transformer,3,Baseline,811008.0,1.0,1.0,1.0
GPT-2/Transformer,3,Basic Tiling,540672.0,0.6666666666666666,1.0,12.0
GPT-2/Transformer,3,Optimized Blocking,201557.33333333334,0.24852693602693604,32.0,576.0
GPT-2/Transformer,4,Baseline,811008.0,1.0,1.0,1.0
GPT-2/Transformer,4,Basic Tiling,540672.0,0.6666666666666666,1.0,12.0
GPT-2/Transformer,4,Optimized Blocking,201557.33333333334,0.24852693602693604,32.0,576.0
